company_name,detected_ats,slug_used,jobs_found,careers_url,probe_time_ms,status
Darwinbox,freshteam,darwinbox,-1,https://darwinbox.freshteam.com/jobs,2837,found
WorkIndia,freshteam,workindia,-1,https://workindia.freshteam.com/jobs,4496,found
Turing,greenhouse,turing,33,https://job-boards.greenhouse.io/turing,3568,found
Toptal,lever,toptal,28,https://jobs.lever.co/toptal,9310,found
Andela,ashby,andela,17,https://jobs.ashbyhq.com/andela,4669,found
Upwork,greenhouse,upwork,12,https://job-boards.greenhouse.io/upwork,4961,found
100ms,lever,100ms,10,https://jobs.lever.co/100ms,8066,found
Hasura (Remote),freshteam,hasura-remote,-1,https://hasura-remote.freshteam.com/jobs,9048,found
Supabase,ashby,supabase,48,https://jobs.ashbyhq.com/supabase,1068,found
PlanetScale,greenhouse,planetscale,11,https://job-boards.greenhouse.io/planetscale,1073,found
Railway,ashby,railway,9,https://jobs.ashbyhq.com/railway,1596,found
Render,ashby,render,23,https://jobs.ashbyhq.com/render,2580,found
Fly.io,bamboohr,flyio,11,https://flyio.bamboohr.com/careers,4450,found
Cal.com,freshteam,calcom,-1,https://calcom.freshteam.com/jobs,4740,found
Documenso,freshteam,documenso,-1,https://documenso.freshteam.com/jobs,5125,found
Formbricks,freshteam,formbricks,-1,https://formbricks.freshteam.com/jobs,5772,found
Infisical,ashby,infisical,13,https://jobs.ashbyhq.com/infisical,5557,found
Novu,freshteam,novu,-1,https://novu.freshteam.com/jobs,7114,found
Trigger.dev,ashby,triggerdev,3,https://jobs.ashbyhq.com/triggerdev,1649,found
Dub,rippling,dub,4,https://ats.rippling.com/dub/jobs,2464,found
OpenStatus,freshteam,openstatus,-1,https://openstatus.freshteam.com/jobs,3157,found
Unkey,freshteam,unkey,-1,https://unkey.freshteam.com/jobs,3679,found
Mintlify,ashby,mintlify,14,https://jobs.ashbyhq.com/mintlify,3794,found
Resend,ashby,resend,7,https://jobs.ashbyhq.com/resend,4306,found
Loops,freshteam,loops,-1,https://loops.freshteam.com/jobs,5926,found
Clerk,freshteam,clerk,-1,https://clerk.freshteam.com/jobs,6417,found
Stytch,ashby,stytch,5,https://jobs.ashbyhq.com/stytch,6438,found
WorkOS,ashby,workos,28,https://jobs.ashbyhq.com/workos,7486,found
Permit.io,freshteam,permitio,-1,https://permitio.freshteam.com/jobs,1078,found
Cerbos,freshteam,cerbos,-1,https://cerbos.freshteam.com/jobs,1533,found
Unacademy,smartrecruiters,unacademy,3,https://careers.smartrecruiters.com/unacademy,1712,found
PhysicsWallah,freshteam,physicswallah,-1,https://physicswallah.freshteam.com/jobs,2681,found
upGrad,freshteam,upgrad,-1,https://upgrad.freshteam.com/jobs,3889,found
Eruditus,freshteam,eruditus,-1,https://eruditus.freshteam.com/jobs,4370,found
Emeritus,freshteam,emeritus,-1,https://emeritus.freshteam.com/jobs,4912,found
BYJU'S,freshteam,byjus,-1,https://byjus.freshteam.com/jobs,5319,found
Vedantu,freshteam,vedantu,-1,https://vedantu.freshteam.com/jobs,6227,found
Scaler Academy,ashby,scaler,2,https://jobs.ashbyhq.com/scaler,3117,found
Coding Ninjas,teamtailor,coding,-1,https://coding.teamtailor.com/,7849,requires_key
Newton School,greenhouse,newton,2,https://job-boards.greenhouse.io/newton,6494,found
Masai School,freshteam,masai-school,-1,https://masai-school.freshteam.com/jobs,3677,found
Sunstone,freshteam,sunstone,-1,https://sunstone.freshteam.com/jobs,2689,found
Simplilearn,freshteam,simplilearn,-1,https://simplilearn.freshteam.com/jobs,3959,found
Great Learning,freshteam,great-learning,-1,https://great-learning.freshteam.com/jobs,4647,found
Testbook,freshteam,testbook,-1,https://testbook.freshteam.com/jobs,5550,found
Adda247,freshteam,adda247,-1,https://adda247.freshteam.com/jobs,5786,found
Allen Digital,freshteam,allen-digital,-1,https://allen-digital.freshteam.com/jobs,6567,found
Classplus,freshteam,classplus,-1,https://classplus.freshteam.com/jobs,7029,found
Teachmint,freshteam,teachmint,-1,https://teachmint.freshteam.com/jobs,1259,found
FrontRow,freshteam,frontrow,-1,https://frontrow.freshteam.com/jobs,1650,found
Dream11,freshteam,dream11,-1,https://dream11.freshteam.com/jobs,2456,found
Games24x7,freshteam,games24x7,-1,https://games24x7.freshteam.com/jobs,3024,found
Mobile Premier League (MPL),freshteam,mobile-premier-league-mpl,-1,https://mobile-premier-league-mpl.freshteam.com/jobs,3743,found
WinZO Games,freshteam,winzo-games,-1,https://winzo-games.freshteam.com/jobs,4355,found
Nazara Technologies,freshteam,nazara-technologies,-1,https://nazara-technologies.freshteam.com/jobs,5063,found
JetSynthesys,freshteam,jetsynthesys,-1,https://jetsynthesys.freshteam.com/jobs,5465,found
Awadh,freshteam,awadh,-1,https://awadh.freshteam.com/jobs,6116,found
Rooter,freshteam,rooter,-1,https://rooter.freshteam.com/jobs,6643,found
Loco,freshteam,loco,-1,https://loco.freshteam.com/jobs,1196,found
